wl,n
0.75990,0.125686
0.76149,0.125824
0.76308,0.125986
0.76466,0.126368
0.76625,0.126598
0.76783,0.126918
0.76942,0.127244
0.77100,0.127509
0.77259,0.127798
0.77418,0.127894
0.77576,0.128305
0.77735,0.128740
0.77893,0.128997
0.78052,0.129195
0.78210,0.129415
0.78368,0.129748
0.78527,0.130175
0.78685,0.130431
0.78844,0.130519
0.79002,0.130784
0.79161,0.131183
0.79319,0.131440
0.79477,0.131585
0.79636,0.131774
0.79794,0.132041
0.79952,0.132536
0.80111,0.132548
0.80269,0.132865
0.80427,0.133229
0.80586,0.133589
0.80744,0.133705
0.80902,0.133924
0.81060,0.134351
0.81219,0.134720
0.81377,0.134964
0.81535,0.135363
0.81693,0.135521
0.81852,0.135831
0.82010,0.136327
0.82168,0.136549
0.82326,0.137046
0.82484,0.137408
0.82642,0.137683
0.82800,0.137875
0.82959,0.138221
0.83117,0.138846
0.83275,0.139508
0.83433,0.139307
0.83591,0.139364
0.83749,0.139911
0.83907,0.140376
0.84065,0.140663
0.84223,0.140974
0.84381,0.141136
0.84539,0.141684
0.84697,0.141720
0.84855,0.141740
0.85013,0.142239
0.85171,0.142271
0.85329,0.142875
0.85486,0.143172
0.85644,0.143156
0.85802,0.143756
0.85960,0.144061
0.86118,0.144369
0.86276,0.144666
0.86434,0.145260
0.86591,0.145888
0.86749,0.146232
0.86907,0.146410
0.87065,0.146854
0.87222,0.147024
0.87380,0.147499
0.87538,0.147731
0.87695,0.148103
0.87853,0.148495
0.88011,0.148955
0.88168,0.149148
0.88326,0.149561
0.88484,0.149805
0.88641,0.150360
0.88799,0.151025
0.88957,0.151167
0.89114,0.151468
0.89272,0.151789
0.89429,0.151914
0.89587,0.152201
0.89744,0.152794
0.89902,0.153130
0.90059,0.153506
0.90217,0.153747
0.90374,0.153811
0.90531,0.154350
0.90689,0.154777
0.90846,0.155290
0.91004,0.155569
0.91161,0.155878
0.91318,0.156033
0.91476,0.156131
0.91633,0.156618
0.91790,0.157360
0.91948,0.157779
0.92105,0.158008
0.92262,0.158523
0.92419,0.158874
0.92577,0.159212
0.92734,0.159931
0.92891,0.160252
0.93048,0.160710
0.93205,0.160931
0.93362,0.161269
0.93519,0.161532
0.93677,0.161981
0.93834,0.162127
0.93991,0.162700
0.94148,0.162954
0.94305,0.163139
0.94462,0.163607
0.94619,0.164122
0.94776,0.164604
0.94933,0.165142
0.95090,0.165381
0.95247,0.165892
0.95404,0.166338
0.95560,0.166422
0.95717,0.166460
0.95874,0.166969
0.96031,0.167372
0.96188,0.167882
0.96345,0.167912
0.96501,0.168147
0.96658,0.168664
0.96815,0.169160
0.96972,0.169436
0.97128,0.170132
0.97285,0.170558
0.97442,0.170801
0.97599,0.171108
0.97755,0.171509
0.97912,0.171665
0.98068,0.172225
0.98225,0.172975
0.98382,0.173292
0.98538,0.173747
0.98695,0.174289
0.98851,0.174461
0.99008,0.175152
0.99164,0.175259
0.99321,0.175477
0.99477,0.175743
0.99634,0.176521
0.99790,0.177067
0.99946,0.177134
1.0117,0.180276
1.0151,0.181082
1.0185,0.181866
1.0219,0.182831
1.0254,0.183788
1.0288,0.184567
1.0322,0.185664
1.0356,0.186320
1.0390,0.187269
1.0425,0.188148
1.0459,0.188918
1.0493,0.189794
1.0527,0.190689
1.0561,0.191560
1.0595,0.192577
1.0630,0.193418
1.0664,0.194168
1.0698,0.195089
1.0732,0.195833
1.0766,0.197126
1.0800,0.197328
1.0835,0.198825
1.0869,0.199142
1.0903,0.200009
1.0937,0.201371
1.0971,0.202132
1.1005,0.203313
1.1040,0.204172
1.1074,0.204870
1.1108,0.205379
1.1142,0.206661
1.1176,0.207760
1.1210,0.208750
1.1244,0.209544
1.1278,0.210445
1.1313,0.211407
1.1347,0.212401
1.1381,0.213337
1.1415,0.214054
1.1449,0.215289
1.1483,0.216323
1.1517,0.217015
1.1551,0.217788
1.1586,0.218774
1.1620,0.219400
1.1654,0.220780
1.1688,0.221469
1.1722,0.222419
1.1756,0.223104
1.1790,0.224174
1.1824,0.224714
1.1859,0.225981
1.1893,0.227305
1.1927,0.228414
1.1961,0.229350
1.1995,0.230422
1.2029,0.231319
1.2063,0.232224
1.2097,0.233121
1.2132,0.234268
1.2166,0.235469
1.2200,0.235939
1.2234,0.237445
1.2268,0.237531
1.2302,0.239252
1.2336,0.240013
1.2370,0.240954
1.2405,0.242067
1.2439,0.242721
1.2473,0.244689
1.2507,0.244685
1.2541,0.246755
1.2575,0.246537
1.2609,0.248497
1.2643,0.248437
1.2678,0.249424
1.2712,0.251470
1.2746,0.251901
1.2780,0.254046
1.2814,0.254229
1.2848,0.255366
1.2883,0.256785
1.2917,0.257392
1.2951,0.259094
1.2985,0.259502
1.3019,0.260931
